"stockid","stocklong","country","region","lme","area","areaid","species","comm_name","msy_source","msy_code","msy_units","msy","year","bbmsy","uumsy","bbmsy_source","uumsy_source","bbmsy_notes","uumsy_notes","catch_type","catch_units","catch"
"NZSNAPNZ8","New Zealand snapper New Zealand Area 8 (Auckland and Central West)","New Zealand","New Zealand","New Zealand Shelf","New Zealand Area 8 (Auckland and Central West)","New Zealand-MFish-8","Pagrus auratus","New zealand snapper","Assessment","MSY-MT","MT",2284.7076,2005,0.353074416513298,3.90641265897126,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",1950
"OFLOUNECS","Japanese flounder East China Sea","Japan","Japan","East China Sea","East China Sea","Japan-FAJ-ECS","Paralichthys olivaceus","Japanese flounder","Assessment","MSY-MT","MT",1181.763806,2013,0.332747193290951,2.4233814527754,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",1160
"OFLOUNNSJ","Japanese flounder Sea of Japan North","Japan","Japan","Sea of Japan","Sea of Japan North","Japan-FAJ-NSJ","Paralichthys olivaceus","Japanese flounder","Assessment","MSY-MT","MT",1556.224123,2013,0.233766233766234,2.06851971557854,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",992
"OFLOUNPAC","Japanese flounder Pacific Ocean","Japan","Japan","Kuroshio Current","Pacific Ocean","Japan-FAJ-PAC","Paralichthys olivaceus","Japanese flounder","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",2156.174,2012,1.39720171006607,0.388367561682396,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",1170
"OFLOUNSETO","Japanese flounder Inland Sea of Japan","Japan","Japan","Kuroshio Current","Inland Sea of Japan","Japan-FAJ-SETO","Paralichthys olivaceus","Japanese flounder","Assessment","MSY-MT","MT",874.6563098,2013,0.485370051635112,1.41208303386462,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",668
"OROUGHYCASCADE","Orange roughy Cascade Plateau","Australia","Australia","South West Australian Shelf","Cascade Plateau","Australia-AFMA-CASCADE","Hoplostethus atlanticus","Orange roughy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1437.826013,2006,1.85912588378925,0.620104101637055,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",800
"OROUGHYCH","Orange roughy Chile","multinational","South America","Humboldt Current","Chile","multinational-SPRFMO-CHL","Hoplostethus atlanticus","Orange roughy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",222.4233527,2011,1.99910152740341,0,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",0
"OROUGHYESCR","Orange roughy East and South Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","East and South Chatham Rise","New Zealand-MFish-ESCR","Hoplostethus atlanticus","Orange roughy","Assessment","MSY-MT","MT",8640,2014,0.85,0.307951102641175,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","ERdivERmgt-calc-dimensionless","TC","MT",3260
"OROUGHYNWCR","Orange roughy Northwest Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","Northwest Chatham Rise","New Zealand-MFish-NWCR","Hoplostethus atlanticus","Orange roughy","Assessment","MSY-MT","MT",1386,2014,1.04,0.06,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","ERdivERmsy-dimensionless","TC","MT",116
"OROUGHYNZ7A","Orange roughy New Zealand Challenger Plateau","New Zealand","New Zealand","New Zealand Shelf","New Zealand Challenger Plateau","New Zealand-MFish-NZ7A","Hoplostethus atlanticus","Orange roughy","Assessment","MSY-MT","MT",1848,2014,1.15,0.21,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","ERdivERmsy-dimensionless","TC","MT",539
"OROUGHYNZMEC","Orange roughy New Zealand Mid East Coast","New Zealand","New Zealand","New Zealand Shelf","New Zealand Mid East Coast","New Zealand-MFish-NZMEC","Hoplostethus atlanticus","Orange roughy","Assessment","MSY-MT","MT",2214,2014,0.4,0.626010829538733,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","ERdivERmgt-calc-dimensionless","TC","MT",982
"OROUGHYSE","Orange roughy Southeast Australia","Australia","Australia","South West Australian Shelf","Southeast Australia","Australia-AFMA-SE","Hoplostethus atlanticus","Orange roughy","Assessment","MSY-MT","MT",2191.690032,2013,1.07945843337559,0.0630086380777731,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",150
"PACBTUNA","Pacific bluefin tuna Pacific Ocean","Multinational","Pacific Ocean","South Pacific Ocean","Pacific Ocean","multinational-ISC-PAC","Thunnus orientalis","Pacific bluefin tuna","Estimated from Fox or Schaefer model","MSY-est-MT","MT",27398.70189,2012,0.329,4.91437872454167,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",15200
"PANCHPERUNC","Peruvian anchoveta North-Central Peruvian coast","Peru","South America","Humboldt Current","North-Central Peruvian coast","Peru-IMARPE-NC","Engraulis ringens","Peruvian anchoveta","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4183417.169,2014,0.996996996996997,0.460337340249767,"Assessment","Uses scaled reference point","TBdivTBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",1920000
"PANDAL4RST","Northern shrimp Gulf of St. Lawrence","Canada","Canada East Coast","Labrador - Newfoundland","Gulf of St. Lawrence","Canada-DFO-4RST","Pandalus borealis","Northern shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",42824.85055,2011,1.0963845562748,0.730525456937428,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",34300
"PANDALGOM","Northern shrimp Gulf of Maine","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine","USA-NMFS-5Y","Pandalus borealis","Northern shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",5369.742653,2008,1.54994433565214,0.57396534002929,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",4780
"PANDALSFA13-15","Northern shrimp Eastern Scotian Shelf (SFA 13-15)","Canada","Canada East Coast","Scotian Shelf","Eastern Scotian Shelf (SFA 13-15)","Canada-DFO-SFA13-15","Pandalus borealis","Northern shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",8751.52071,2012,1.43038853139977,0.335514849392909,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",3650
"PANDALSFA2-3","Northern shrimp Shrimp Fishing Areas 2-3","Canada","Canada East Coast","Canadian Eastern Arctic -West Greenland","Shrimp Fishing Areas 2-3","Canada-DFO-SFA2-3","Pandalus borealis","Northern shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",33832.84841,2014,1.70329943843494,0.100993498901643,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",5820
"PANDALSFA4","Northern shrimp Shrimp Fishing Area 4","Canada","Canada East Coast","Labrador - Newfoundland","Shrimp Fishing Area 4","Canada-DFO-SFA4","Pandalus borealis","Northern shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",57628.27018,2012,2.48479115647315,0.091484141996146,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",13100
"PANDALSFA6","Northern shrimp Shrimp Fishing Area 6","Canada","Canada East Coast","Labrador - Newfoundland","Shrimp Fishing Area 6","Canada-DFO-SFA6","Pandalus borealis","Northern shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",75441.80205,2012,1.03782225282805,0.651381085970735,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",51000
"PANDALSMA14","Ocean shrimp Shrimp Management Area 14","Canada","Canada West Coast","Gulf of Alaska","Shrimp Management Area 14","Canada-DFO-SMA-14","Pandalus jordani","Ocean shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",170.1596347,2010,1.53143390495504,0.229864561166481,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",59.9
"PANDALSMA16","Ocean shrimp Shrimp Management Area 16","Canada","Canada West Coast","Gulf of Alaska","Shrimp Management Area 16","Canada-DFO-SMA-16","Pandalus jordani","Ocean shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",58.48743119,2010,0.981424318758184,0.625424782469239,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",35.9
"PANDALSMA18-19","Ocean shrimp Shrimp Management Areas 18 and 19","Canada","Canada West Coast","Gulf of Alaska","Shrimp Management Areas 18 and 19","Canada-DFO-SMA-18-19","Pandalus jordani","Ocean shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",163.7737685,2011,0.248336963398151,0,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",0
"PANDALSMAFR","Ocean shrimp Shrimp Management Area FR","Canada","Canada West Coast","Gulf of Alaska","Shrimp Management Area FR","Canada-DFO-SMA-FR","Pandalus jordani","Ocean shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",151.1837814,2010,1.27677091336387,0.374040831329003,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",72.2
"PANDALSMAGTSE","Ocean shrimp Shrimp Management Area GTSE","Canada","Canada West Coast","Gulf of Alaska","Shrimp Management Area GTSE","Canada-DFO-SMA-GTSE","Pandalus jordani","Ocean shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",132.1030471,2010,1.63359136054081,0.255789559927217,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",55.2
"PANDALSMAPRD","Ocean shrimp Shrimp Management Area PRD","Canada","Canada West Coast","Gulf of Alaska","Shrimp Management Area PRD","Canada-DFO-SMA-PRD","Pandalus jordani","Ocean shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",415.6878955,2010,1.7677249025852,0.0353827260210565,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",26
"PATGRENADIERCH","Patagonian grenadier Central-Southern Chile","Chile","South America","Humboldt Current","Central-Southern Chile","Chile-SUBPESCA-CH-CS","Macruronus magellanicus","Patagonian grenadier","Estimated from Fox or Schaefer model","MSY-est-MT","MT",114269.9457,2014,0.369098712446352,1.15000564806107,"Assessment","Uses scaled reference point","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",39100
"PATGRENADIERSARG","Patagonian grenadier Southern Argentina","Argentina","South America","Patagonian Shelf","Southern Argentina","Argentina-CFP-ARG-S","Macruronus magellanicus","Patagonian grenadier","Estimated from Fox or Schaefer model","MSY-est-MT","MT",90271.74387,2014,0.632615720014015,1.12121212121212,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",72600
"PAUANPAU5A","Paua NZ Area North PAUA 5A","New Zealand","New Zealand","New Zealand Shelf","NZ Area North PAUA 5A","New Zealand-MFish-NPAU5A","Haliotis iris","Paua","Assessment","MSY-MT","MT",73,2014,1.16222760290557,0.4,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-dimensionless","TC","MT",64.4
"PAUAPAU5B","Paua New Zealand Area PAU 5B (Stewart Island)","New Zealand","New Zealand","New Zealand Shelf","New Zealand Area PAU 5B (Stewart Island)","New Zealand-MFish-PAU5B","Haliotis iris","Paua","Assessment","MSY-MT","MT",190,2013,1.18092691622103,0.29,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-dimensionless","TC","MT",101
"PAUAPAU5D","Paua New Zealand Area PAU 5D (Otago)","New Zealand","New Zealand","New Zealand Shelf","New Zealand Area PAU 5D (Otago)","New Zealand-MFish-PAU5D","Haliotis iris","Paua","Assessment","MSY-MT","MT",121,2012,0.86980306345733,0.8,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-dimensionless","TC","MT",111
"PAUAPAU7","Paua New Zealand Area PAU 7 (Marlborough)","New Zealand","New Zealand","New Zealand Shelf","New Zealand Area PAU 7 (Marlborough)","New Zealand-MFish-PAU7","Haliotis iris","Paua","Assessment","MSY-MT","MT",207,2014,0.429387089256584,1.32,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-dimensionless","TC","MT",155
"PAUASPAU5A","Paua NZ Area South PAUA 5A","New Zealand","New Zealand","New Zealand Shelf","NZ Area South PAUA 5A","New Zealand-MFish-SPAU5A","Haliotis iris","Paua","Assessment","MSY-MT","MT",57,2014,1.01556842867487,0.47,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-dimensionless","TC","MT",45.9
"PCEELARGS","Pink cusk eel Southern Argentina","Argentina","South America","Patagonian Shelf","Southern Argentina","Argentina-CFP-ARG-S","Genypterus blacodes","Pink cusk eel","Assessment","MSY-MT","MT",11700,2013,0.433123088167619,2.9354666281235,"Assessment","Uses scaled reference point","SSBdivSSBmgt-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",10700
"PCEELCSCH","Pink cusk eel Central-Southern Chile","Chile","South America","Humboldt Current","Central-Southern Chile","Chile-SUBPESCA-CH-CS","Genypterus blacodes","Pink cusk eel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2993.635155,2014,0.520555258942872,0.632911392405063,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",567
"PCEELSCH","Pink cusk eel Southern Chile","Chile","South America","Humboldt Current","Southern Chile","Chile-SUBPESCA-CH-S","Genypterus blacodes","Pink cusk eel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",909.4450572,2014,0.413698630136986,0.266666666666667,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",113
"PCOD5AB","Pacific cod Queen Charlotte Sound","Canada","Canada West Coast","Gulf of Alaska","Queen Charlotte Sound","Canada-DFO-5AB","Gadus macrocephalus","Pacific cod","Assessment","MSY-MT","MT",763.3,2012,0.275894869048059,0.84524209184191,"Uses converted reference point","Uses converted reference point","TBdivTBmsy-conv-dimensionless","ERdivERmsy-conv-dimensionless","TC","MT",178
"PCODAI","Pacific cod Aleutian Islands","USA","US Alaska","East Bering Sea","Aleutian Islands","USA-NMFS-AI","Gadus macrocephalus","Pacific cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",25564.66847,2014,0.797158445718572,0.520140952310081,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",10600
"PCODBS","Pacific cod Bering Sea","USA","US Alaska","East Bering Sea","Bering Sea","USA-NMFS-BS","Gadus macrocephalus","Pacific cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",184978.517,2014,1.23404255319149,1.0096214467837,"Assessment","Uses scaled reference point","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",239000
"PCODGA","Pacific cod Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Gadus macrocephalus","Pacific cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",66403.74235,2010,1.47627416520211,0.549275362318841,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",78300
"PCODHS","Pacific cod Hecate Strait","Canada","Canada West Coast","Gulf of Alaska","Hecate Strait","Canada-DFO-HS","Gadus macrocephalus","Pacific cod","Assessment","MSY-MT","MT",3313.1,2003,0.529650015577942,0.218926553672316,"Assessment","Assessment","TBdivTBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",458
"PCODNPAC","Pacific cod North Pacific","Japan","Japan","Kuroshio Current","North Pacific","Japan-FAJ-NPAC","Gadus macrocephalus","Pacific cod","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",188097.77,2013,0.215074320126177,0.751452230873814,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",30400
"PCODWCVANI","Pacific cod West Coast of Vancouver Island","Canada","Canada West Coast","Gulf of Alaska","West Coast of Vancouver Island","Canada-DFO-WCVANI","Gadus macrocephalus","Pacific cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1714.713486,2001,0.668548506908335,0.469026548672566,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",339
"PERCHEBSAI","Pacific ocean perch Eastern Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Eastern Bering Sea and Aleutian Islands","USA-NMFS-EBSAI","Sebastes alutus","Pacific ocean perch","Estimated from Fox or Schaefer model","MSY-est-MT","MT",15390.8486,2010,1.76963654907364,0.344594594594595,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",17900
"PERCHQCI","Pacific ocean perch Haida Gwaii","Canada","Canada West Coast","Gulf of Alaska","Haida Gwaii","Canada-DFO-HG","Sebastes alutus","Pacific ocean perch","Assessment","MSY-MT","MT",1488,2012,1.57447973713034,0.482,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-dimensionless","TC","MT",584
"PERCHWCVANI","Pacific ocean perch West Coast of Vancouver Island","Canada","Canada West Coast","Gulf of Alaska","West Coast of Vancouver Island","Canada-DFO-WCVANI","Sebastes alutus","Pacific ocean perch","Assessment","MSY-MT","MT",1048,2012,1.47529695300396,0.384,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-dimensionless","TC","MT",382
"PGEODWA","Pacific geoduck Washington","USA","US West Coast","California Current","Washington","USA-WASTATE-WA","Panopea generosa","Pacific geoduck","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4956.210958,2010,2.08639056685188,0.207293745221766,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",2150
"PHAKEPCOAST","Pacific hake Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Merluccius productus","Pacific hake","Assessment","MSY-MT","MT",406000,2014,2.71331058020478,0.256024096385542,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",299000
"PHFLOUNSOJ","Pointhead flounder Sea of Japan","Japan","Japan","Sea of Japan","Sea of Japan","Japan-FAJ-SOJ","Cleisthenes herzensteini","Pointhead flounder","Assessment","MSY-MT","MT",2961.814499,2013,0.848529054218332,1.07326922055151,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",3030
"PILCHPJPN","Japanese sardine Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Pacific Coast of Japan","Japan-FAJ-PJPN","Sardinops sagax","Japanese sardine","Assessment","MSY-MT","MT",175942.4024,2013,1.3384141451571,0.740296118447379,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",148000
"PILCHTSST","Japanese sardine Tsushima Strait","Japan","Japan","East China Sea","Tsushima Strait","Japan-FAJ-TSST","Sardinops sagax","Japanese sardine","Assessment","MSY-MT","MT",53011.80649,2013,1.07327783968015,1.31715506715507,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",86300
"PINKSHRIMPGM","Pink shrimp Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico","USA-NMFS-GM","Farfantepenaeus duorarum","Pink shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3549.905254,2013,2.33485333960138,0.18955223880597,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",1440
"PLAIC7d","European plaice Eastern English Channel","multinational","European Union","Celtic-Biscay Shelf","Eastern English Channel","multinational-ICES-VIId","Pleuronectes platessa","European plaice","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4969.363769,2014,2.22256640594749,0.476,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",7000
"PLAICCELT","European plaice Celtic Sea","multinational","European Union","Celtic-Biscay Shelf","Celtic Sea","multinational-ICES-VIIf-g","Pleuronectes platessa","European plaice","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1176.537968,2014,1.07,0.62,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",411
"PLAICECHW","European plaice Western English Channel","multinational","European Union","Celtic-Biscay Shelf","Western English Channel","multinational-ICES-VIIe","Pleuronectes platessa","European plaice","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2014.532212,2013,2.89090909090909,1.14166666666667,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",1820
"PLAICIS","European plaice Irish Sea","multinational","European Union","Celtic-Biscay Shelf","Irish Sea","multinational-ICES-VIIa","Pleuronectes platessa","European plaice","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4879.863392,2014,1.04888375673595,0.525479869397588,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",1230
"PLAICNS","European plaice North Sea","multinational","European Union","North Sea","North Sea","multinational-ICES-IV","Pleuronectes platessa","European plaice","Estimated from Fox or Schaefer model","MSY-est-MT","MT",194792.4085,2014,1.45767172807603,0.976190476190476,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",134000
"POLL5YZ","Pollock Gulf of Maine / Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Pollachius virens","Pollock","Assessment","MSY-MT","MT",19678,2014,1.47301997605155,0.252707581227437,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",6070
"POLLFAPL","Pollock Faroe Plateau","multinational","Europe non EU","Faroe Plateau","Faroe Plateau","multinational-ICES-Vb1","Pollachius virens","Pollock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",43140.49756,2014,1.13768115942029,1.63333333333333,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",23900
"POLLIEG","Pollock Iceland Grounds","multinational","Europe non EU","Iceland Shelf and Sea","Iceland Grounds","multinational-ICES-Va","Pollachius virens","Pollock","Assessment","MSY-MT","MT",65000,2014,2.13846153846154,0.795,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",45500
"POLLNEAR","Pollock North-East Arctic","multinational","Europe non EU","Barents Sea","North-East Arctic","multinational-ICES-I-II","Pollachius virens","Pollock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",178424.3942,2014,1.58181818181818,0.84375,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",132000
"POLLNS-VI-IIIa","Pollock ICES 3a-4-6","multinational","European Union","North Sea","ICES 3a-4-6","multinational-ICES-IIIa-IV-VI","Pollachius virens","Pollock","Assessment","MSY-MT","MT",200000,2014,1.39333333333333,0.872222222222222,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",81800
"POPERCHGA","Pacific ocean perch Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Sebastes alutus","Pacific ocean perch","Assessment","MSY-MT","MT",20243,2010,1.461973664447,0.511035631959438,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",15500
"POPERCHPCOAST","Pacific ocean perch Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes alutus","Pacific ocean perch","Assessment","MSY-MT","MT",1058,2010,0.48828125,0.275175644028103,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",141
"PSHRMPMEDGSA6","Deep water rose shrimp Northern Spain","multinational","Mediterranean-Black Sea","Mediterranean Sea","Northern Spain","multinational-GFCM-GSA6","Parapenaeus longirostris","Deep water rose shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",139.9835851,2012,1.56226598265666,5.48148148148148,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",120
"PSOLEPCOAST","Petrale sole Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Eopsetta jordani","Petrale sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",795.4814368,2014,1.11124387620982,0.938571428571429,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",2360
"PTOOTHFISHCH","Patagonian toothfish South Chile Argentina","multinational","South America","Humboldt Current","South Chile Argentina","multinational-SUBPESCA-CFP-SCH-ARG","Dissostichus eleginoides","Patagonian toothfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",5511.542277,2014,0.34,2.12,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",6100
"PTOOTHFISHMI","Patagonian toothfish Macquarie Island","Australia","Australia","South Pacific Ocean","Macquarie Island","Australia-AFMA-MI","Dissostichus eleginoides","Patagonian toothfish","Assessment","MSY-MT","MT",184.369,2009,2.26513067044418,0.0926769153720583,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",68.7
"PTOOTHFISHPEI","Patagonian toothfish South Africa Subantarctic Prince Edward Islands","South Africa","South Africa","Indian Ocean","South Africa Subantarctic Prince Edward Islands","South Africa-DETMCM-PEI","Dissostichus eleginoides","Patagonian toothfish","Assessment","MSY-MT","MT",1514.43,2013,2.58,0.00649,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TC","MT",265
"RBRMECS","Red seabream East China Sea","Japan","Japan","East China Sea","East China Sea","Japan-FAJ-ECS","Pagrus major","Red seabream","Assessment","MSY-MT","MT",11625.59874,2013,0.0985860533443511,3.23943661971831,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",5520
"RBRMSETOE","Red seabream Inland Sea of Japan (East)","Japan","Japan","Kuroshio Current","Inland Sea of Japan (East)","Japan-FAJ-SETOE","Pagrus major","Red seabream","Assessment","MSY-MT","MT",3105.528673,2013,0.101498308361527,3.08034568323779,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",1800
